RunTime,ExecutableName
2024-11-16 20:37:43,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2024-10-11 07:00:02,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2024-07-22 20:42:05,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2024-07-22 19:16:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2024-07-22 15:14:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2024-07-20 21:16:50,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2024-07-20 20:45:56,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2024-07-19 16:23:04,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZFM.EXE
2024-07-24 14:42:14,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZG.EXE
2024-07-24 14:38:00,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZG.EXE
2024-07-22 20:41:58,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZG.EXE
2024-07-22 19:16:39,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZG.EXE
2024-07-20 20:45:34,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZG.EXE
2024-07-18 21:23:20,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZG.EXE
2024-07-18 21:22:34,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\7-ZIP\7ZG.EXE
2024-11-20 19:56:44,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-19 18:46:14,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-19 18:39:41,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-19 18:30:31,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-18 18:35:43,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-08 21:15:30,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-08 19:24:42,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-08 06:47:46,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-20 19:56:44,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-19 18:46:14,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-19 18:39:41,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-19 18:30:31,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-18 18:35:43,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-08 21:15:30,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-08 19:24:42,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-08 06:47:46,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE
2024-11-20 19:56:47,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROCEF_1\ACROCEF.EXE
2024-11-20 19:56:47,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROCEF_1\ACROCEF.EXE
2024-11-20 19:56:47,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROCEF_1\ACROCEF.EXE
2024-11-20 19:56:47,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROCEF_1\ACROCEF.EXE
2024-11-20 19:56:47,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROCEF_1\ACROCEF.EXE
